24/02/2018 12:15:52 PM SIDDHESH-PC COMFLEX\1150 iisexpress 25  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :egk0wazelmze1eylkhtpcipt | FirstName : hasti
24/02/2018 12:19:20 PM SIDDHESH-PC COMFLEX\1150 iisexpress 13  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ypm0dggb5nkvksrtzt4qckaz | FirstName : hasti
24/02/2018 12:20:43 PM SIDDHESH-PC COMFLEX\1150 iisexpress 26  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :acw1dwwjz2qmbyvr3hq4oo3q | FirstName : hasti
24/02/2018 12:21:27 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :2hmwom0yx0zglyyelcnnt25t | FirstName : rtettests
24/02/2018 12:28:23 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :dgajs40gougmgtide3wud520 | FirstName : hasti
24/02/2018 12:29:25 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :dcpeohizy0poycxfclbr3jd1 | FirstName : test
24/02/2018 12:34:10 PM SIDDHESH-PC COMFLEX\1150 iisexpress 18  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :h2ihplizcdr0v22a3dwo5zq4 | FirstName : hasti
24/02/2018 12:34:55 PM SIDDHESH-PC COMFLEX\1150 iisexpress 18  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :j0l1blwgnhlawun0ditke4si | FirstName : qwey
24/02/2018 12:35:37 PM SIDDHESH-PC COMFLEX\1150 iisexpress 15  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :i5uzu3vz1jcjlh0csp5d50xj | FirstName : qwey
24/02/2018 12:49:09 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :gew3ectuxwd2n4ms35tl2zd1 | FirstName : hasti
24/02/2018 01:25:00 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :4nhsuqyjy0m50ncjmbswal0a | FirstName : hasti
24/02/2018 01:29:50 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :egfwzzg41lzutmkr4j1rvljd | FirstName : ashwini
24/02/2018 01:30:05 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :v41zjeqek3rajwy3w2to4xmi | FirstName : hasti
24/02/2018 01:31:50 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ip3kafyqmcrktbrtu4aapofo | FirstName : hasti
24/02/2018 01:33:07 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :22nfqej1fcyzulokkwcji3ba | FirstName : priyanka
24/02/2018 01:35:17 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ahdo3did2zpll25aeql1ldg3 | FirstName : hasti
